PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS;;;;;;;;;;;;;;
REGION TYPE;REGION;YEAR;WEEK;% WEIGHTED ILI;%UNWEIGHTED ILI;AGE 0-4;AGE 25-49;AGE 25-64;AGE 5-24;AGE 50-64;AGE 65;ILITOTAL;NUM. OF PROVIDERS;TOTAL PATIENTS
National;X;2024;40;1.90515;1.84854;10165;12448;X;17720;4647;4696;49676;4252;2687308
National;X;2024;41;2.02014;1.94416;10726;12821;X;18612;4827;4670;51656;4271;2656989
National;X;2024;42;2.07037;2.00964;11015;13399;X;19379;4897;4771;53461;4267;2660225
National;X;2024;43;2.22044;2.15518;12585;14378;X;22748;5110;4993;59814;4269;2775354
National;X;2024;44;2.31725;2.23339;13397;15153;X;22160;5330;5036;61076;4211;2734678
National;X;2024;45;2.4719;2.38624;15050;16209;X;23541;5788;5395;65983;4258;2765142
National;X;2024;46;2.6917;2.57543;16289;16715;X;24586;6144;5559;69293;4273;2690545
National;X;2024;47;2.88949;2.78848;18034;18031;X;27250;6684;5863;75862;4237;2720548
National;X;2024;48;3.18283;3.12363;19868;17397;X;23723;6559;6396;73943;4252;2367211
National;X;2024;49;3.318;3.24407;19972;22750;X;27032;8830;8853;87437;4252;2695286
National;X;2024;50;3.78793;3.6863;22152;25094;X;33756;9921;9835;100758;4251;2733307
National;X;2024;51;4.94489;4.80631;28860;33712;X;45537;12696;12207;133012;4221;2767445
National;X;2024;52;6.74349;6.66381;37435;44780;X;48174;18423;18599;167411;4217;2512241
National;X;2025;1;6.25398;6.16668;33451;48596;X;37513;21824;23074;164458;4247;2666881
National;X;2025;2;5.30512;5.29401;23592;42897;X;35821;19312;17872;139494;4243;2634939
National;X;2025;3;5.74558;5.69117;26014;44103;X;50231;19130;17251;156729;4258;2753898
National;X;2025;4;6.98693;6.85658;30197;51025;X;59340;21132;18010;179704;4263;2620898
National;X;2025;5;7.79904;7.42564;32917;59976;X;72394;26106;23225;214618;4260;2890229
National;X;2025;6;7.84378;7.70557;35164;59740;X;76137;26664;24947;222652;4250;2889494
National;X;2025;7;6.93692;7.05953;29512;52696;X;62336;24317;23946;192807;4258;2731160
National;X;2025;8;5.90072;6.01799;24727;44764;X;46519;20323;20475;156808;4245;2605653
National;X;2025;9;4.87406;4.83865;20599;37605;X;39077;17523;18295;133099;4242;2750746
National;X;2025;10;4.26679;4.26517;18328;31463;X;35647;14139;14539;114116;4237;2675535
National;X;2025;11;3.81006;3.86406;17084;28417;X;32943;12435;12617;103496;4218;2678425
National;X;2025;12;3.25232;3.30602;15049;24061;X;28068;9986;10404;87568;4204;2648741
National;X;2025;13;2.89999;2.95371;13724;21395;X;25244;8344;8443;77150;4214;2611965
National;X;2025;14;2.56142;2.59783;12006;18536;X;21715;7274;7129;66660;4199;2565984
National;X;2025;15;2.41001;2.37447;11713;16617;X;19889;6434;6385;61038;4211;2570597
National;X;2025;16;2.26907;2.21028;11244;15597;X;17804;5951;6137;56733;4200;2566784
National;X;2025;17;2.16609;2.09415;11075;15191;X;16556;5780;6068;54670;4194;2610608
National;X;2025;18;1.99847;1.94426;10308;13307;X;15626;5187;5590;50018;4141;2572600
National;X;2025;19;1.89628;1.83378;9846;12410;X;14998;4982;5217;47453;4166;2587717
National;X;2025;20;1.86362;1.79185;10008;12011;X;14655;4824;4984;46482;4152;2594072
National;X;2025;21;1.81452;1.75407;9721;11746;X;13736;4728;4980;44911;4116;2560391
National;X;2025;22;1.82848;1.76618;9650;11635;X;12226;4741;5026;43278;4122;2450379
National;X;2025;23;1.60298;1.55989;8223;11089;X;10157;4565;4936;38970;3998;2498253
National;X;2025;24;1.4048;1.38371;7505;9738;X;8516;4180;4395;34334;4103;2481307
National;X;2025;25;1.31933;1.28319;6472;9067;X;7609;3920;4319;31387;4099;2446010
National;X;2025;26;1.17791;1.16189;5977;8278;X;6912;3663;3934;28764;4089;2475613
National;X;2025;27;1.10483;1.08488;5109;7365;X;6173;3197;3611;25455;4086;2346349
National;X;2025;28;1.15324;1.05419;5071;7904;X;6338;3298;3661;26272;4037;2492152
National;X;2025;29;1.05532;1.00911;4495;7489;X;5927;3252;3532;24695;4037;2447212
National;X;2025;30;1.03084;1.00283;4647;7822;X;6095;3121;3358;25043;4056;2497232
National;X;2025;31;1.05587;1.01944;4529;7816;X;6130;3182;3440;25097;3991;2461852
National;X;2025;32;1.14899;1.10167;4826;8490;X;6738;3436;3693;27183;4058;2467428
National;X;2025;33;1.21036;1.1551;4945;8962;X;7788;3625;3758;29078;3986;2517355
National;X;2025;34;1.443;1.41465;5908;10083;X;10521;3859;3985;34356;3961;2428586
National;X;2025;35;1.78127;1.65885;6858;11664;X;13204;4424;4519;40669;3886;2451641
National;X;2025;36;1.78106;1.68873;7221;12029;X;12475;4657;4819;41201;3950;2439763
National;X;2025;37;1.73451;1.65694;7014;11992;X;12618;4662;4795;41081;3907;2479323
National;X;2025;38;1.67932;1.61115;7384;11362;X;12617;4398;4641;40402;3893;2507657
